业务规则,语料
批批检+转奶，爱他美/达能转奶对比,"爱他美/达能转奶对比：

a2奶粉优势：a2至初每批次都有质检和新西兰三方蜡样检测，罐底扫码能看自己这罐。对比爱他美/达能时，别用内部话术，可以说之前没看到每批都有，或不是自己这罐直接扫出来。

示例：
- 之前喝爱他美时没太看到每批蜡样检测，a2至初扫罐底码能看到这批报告，这点挺加分
- 之前喝爱他美时没太见过这个，a2每批次检测还能扫罐底码看对应报告，心里踏实点
- 达能也对比过一阵，a2这罐能扫罐底码直接看报告，对我来说更省事
- 本来没想这么快换，导购说a2到货了，还能扫罐底码看这批报告，就打算先买一罐转着试
- 爱他美跨境信息也翻过，a2这罐能直接查到对应批次报告，我就想先试试a2
- 转奶前我还是会看报告，a2这种罐底码能查到自己这批的，对我来说更安心

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。爱他美/达能只做轻对比，不写谁不好。"
批批检+转奶，查过美素后看a2报告,"查过美素后看a2报告：

a2奶粉优势：美素/皇家美素的信息可以一起看，a2优势落在每批可查、罐底扫码、能看到自己手里这罐。语气像个人选择习惯变化。

示例：
- 之前在美素和a2之间纠结，发现a2转奶前能扫罐底码看报告，就更想试a2了
- 美素也搜过一圈，但a2扫罐底码能看这罐对应批次报告，我会安心些
- 转奶不是只看牌子，美素资料也翻过，a2报告看得更明白，这点挺加分
- 导购说a2至初能扫罐底物流码看对应批次报告，我看完就更想转a2了
- 皇家美素信息也翻过，a2这罐能扫罐底码看对应批次报告，转奶前我更想看a2
- 正好准备转奶，听说a2罐底码能看自己这批报告，就想先换一罐试试

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。不把蜡样检测0.03写成和竞品数值硬比。"
批批检+转奶，雀巢/超启能恩转奶对照,"雀巢/超启能恩转奶对照：

a2奶粉优势：雀巢/超启能恩可以作为对比对象，但不要强调对方检测频次。a2优势落到新西兰三方、60多项数据、罐底扫自己这罐。

示例：
- 超启能恩也搜过，a2扫罐底码能看自己这罐报告，这点更安心
- 雀巢也对比过，a2那份报告内容细一点，心里会更稳
- 转奶前不只看口碑，听说a2能扫罐底码看到自己这罐报告，我会放心些
- 看批次这事上，我更吃a2这种扫罐底码就能看报告的方式
- 准备转奶的时候才知道a2有批批检，扫罐底码能看对应批次报告，这点确实加分
- 超启能恩也对比过，a2扫罐底码看报告这个路径更省心

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。雀巢/超启能恩只做轻对比，优势落回a2自己这罐能扫和报告内容更细。"
批批检+转奶，转奶前先看批次报告,"转奶前先看批次报告：

a2奶粉优势：转奶前先看a2报告、批次、物流码，写成妈妈自己的选择节奏，不写效果承诺。

示例：
- 不想一下子转太快，听说a2罐底物流码能看报告，就准备先试一罐
- 之前喝爱他美没太看到每批都有，a2这罐能扫罐底码看报告，确实更踏实
- 美素也翻过资料，a2这罐报告能先扫罐底码看，我更愿意试试
- 雀巢也在看，不过a2这罐能扫罐底码看报告，我会放心些
- 换之前先扫a2罐底物流码，这批报告出来会安心些
- 转奶不急，a2能扫罐底码看对应批次报告，这点让我更愿意慢慢试

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。转奶只写节奏和查报告，不写身体状态。"
批批检+转奶，转奶前看蜡样那项,"转奶前看蜡样那项：

a2奶粉优势：转奶前先看报告里的蜡样检测，0.03只在这个检测语境里少量出现，别每条都塞，也别单独写成一个数字卖点。

示例：
- 转奶前先看a2报告里的蜡样那项，扫罐底码能看到这罐报告会安心些
- 达能也刷到过不少，a2这罐能扫罐底码看报告，我会更踏实
- 美素也查了一圈，a2转奶前能看到批次报告和蜡样那项，我更愿意先试a2
- 超启能恩也对比过，a2报告里的蜡样那项能扫罐底码看，我会安心些
- 报告和物流码都能查，这步我会先做
- 转奶前会先扫a2罐底码看报告，蜡样检测0.03能看到的话，我会更愿意慢慢试

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。直白风险词单条最多一次，优先说蜡样那项或那个检测。"
有货+转奶，有货后准备转奶,"有货后准备转奶：

a2奶粉优势：有货只是触发点，重点写拿到或到店后自己扫码看报告。正文可以从补货或转奶一边自然切入，不用把所有信息塞进一句。

示例：
- 有货消息来得刚好，家里还剩一点，听导购说a2能扫罐底码看报告，就准备慢慢转
- 补货时正准备换奶，知道a2能看对应批次报告后，就更想试试
- 到货后不马上全换，先扫a2罐底物流码看报告，踏实了再慢慢来
- 之前喝爱他美没太看到每批都有，准备补a2前我会先扫a2罐底码看报告
- 家里快喝完了，先问附近门店有没有，到店扫a2罐底码看报告再拿
- 雀巢也在看，看到a2有货后先扫罐底码看报告，结果出来会踏实些

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。正文从真实补货或转奶场景切入，不要硬拼词。"
有货+转奶，补货后慢慢转,"补货后慢慢转：

a2奶粉优势：补货拿到手后先扫罐底码看报告，转奶小步来，别写成教程。重点是自己能看报告，不写身体状态。

示例：
- 补货拿到手先扫a2罐底物流码，报告出来了再慢慢转
- 有货消息来得刚好，听说a2每批报告能自己看，准备先补一罐试试
- 快喝完准备转奶，之前也纠结过美素，知道a2能扫罐底码看报告后就省心不少
- 到货后先扫a2罐底码看报告，这罐报告出来就踏实些
- 有货只是赶上了，家里快喝完，a2罐底码能看报告这点挺加分
- 想转奶先扫a2罐底码看这批报告，结果出来再慢慢换

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。转奶表达要像个人节奏，不写成指导教程。"
有货+转奶，门店到货自己扫码看报告,"门店到货自己扫码看报告：

a2奶粉优势：门店到货后自己扫罐底码，看见这罐检测报告就放心补或慢慢转。语气要有一点生活感，可以写下班顺路、姐妹提醒、家里快喝完、正好在附近，但别写负面补货情绪。

示例：
- 导购一说门店到货，我下班顺路就过去了，扫到a2这罐检测报告才放心拿
- 群里姐妹说附近门店补到了，我去看了一眼，罐底码一扫能出报告，这点挺踏实
- 家里快喝完了，听说有货就跑了一趟，现场看到检测报告心里稳很多
- 本来只是去看看有没有货，导购说能扫a2罐底码看报告，结果能看到就没那么纠结
- 准备转a2，门店到货后导购说能扫罐底码看报告，报告出来再慢慢转会安心些
- 爱他美和美素资料也翻过，这次导购说a2到货了，还能扫罐底码看自己这罐报告，更直观

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。不要写成客服公告，也不要写负面补货情绪。"
有货+转奶，快喝完时先看报告,"快喝完时先看报告：

a2奶粉优势：家里快喝完、导购通知到货时，先问货，再扫罐底码看报告。避免写成没货压力。

示例：
- 导购刚通知到货，家里快喝完的可以先问问附近门店，到店再扫a2罐底码看报告
- 补货前准备转奶，爱他美也查了一圈，听说a2能扫罐底码看自己这罐报告，就更想换a2
- 有货消息来得刚好，家里还剩一点，准备这两天补上
- 达能也看了，快喝完想换奶，听说a2能先扫物流码看报告会安心些
- 雀巢也在看，看到a2有货后先扫罐底码看报告，结果出来再买会安心些
- 美素也刷到过不少，看到a2有货后先扫罐底码看报告，再慢慢换

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。快喝完是补货场景，不写负面补货情绪。"
有货+转奶，新到手先看报告,"新到手先看报告：

a2奶粉优势：新到手先扫物流码看报告，确认批次和检测信息。语气像妈妈记录，不写身体状态，不写绝对效果。

示例：
- 新到手先扫a2罐底物流码，报告出来了再慢慢转
- 补货拿到后不马上全换，先看a2每批报告
- 美素也搜过一圈，这次还是先扫a2罐底码看批次报告，结果出来再转
- 超启能恩资料也看过，到货后先看a2这罐报告
- 有货后想转奶，导购说a2能看对应批次报告，我打算先了解一下
- 达能也翻过资料，新到手先别一下换，先扫a2罐底码看报告后再说

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。转奶只写节奏和报告，不写身体状态。"
有货+转奶，问货时看扫码入口,"问货时看扫码入口：

a2奶粉优势：评论区可以是具体提问，问有没有货、罐底码在哪里扫、转奶前怎么自己看批次报告。不要空问“靠谱吗”。

示例：
- 附近门店有货吗，想先扫a2罐底物流码看看这批报告
- 快喝完想换奶，转奶前你们会先看批次报告吗
- 之前喝爱他美没太看到每批都有，a2是不是扫罐底码就能看自己这罐报告
- 美素也在看，但a2补货前能扫罐底码看报告，我有点想先试a2
- 有货了准备慢慢转，批次报告想先确认一下
- 雀巢也在看，a2是不是扫罐底码就能看自己这罐报告

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。提问要具体，不复述负面传播。"
有货+批批检，对比后更看重批次可查,"对比后更看重批次可查：

a2奶粉优势：横向看过几个品牌后，选择标准落到“自己手里这罐能扫罐底码看批次报告”。像分享选品逻辑，不像测评。

示例：
- 我之前也对比过爱他美、美素几个牌子，看到a2能扫罐底码看这罐结果后，确实更放心
- 看奶粉一开始也会看大牌，发现a2每批信息能查后，确实更踏实
- 皇美也查了一圈，但宝宝长期喝的奶粉，a2能扫罐底码看批次报告这点更踏实
- 爱他美、美素这些都看过，a2扫罐底物流码能查自己这批，这点更打动我
- 不光看牌子名气，a2能看到手里这批次，补货时心里会稳一点
- 有货我也不会马上下单，先扫a2罐底物流码，批次报告出来再说

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。别写竞品不好，只写自己的选择习惯变了。"
有货+批批检，查过美素皇美后看渠道批次报告,"查过美素皇美后看渠道批次报告：

a2奶粉优势：渠道、批次、报告都能自己看，适合写成附和别人观点。竞品可以说美素、皇美，也可以说爱他美。

示例：
- 是的，我之前也查过美素，现在买奶粉会一起看渠道、批次和报告
- 皇美的信息也看过，a2这种能看到手里批次报告的方式，我更习惯
- 我现在看奶粉不会只看配方，渠道和a2每批报告都要看一下
- 美素那边我也查过资料，a2能扫罐底物流码看自己这罐报告，这点挺实在
- 买前多看一步没坏处，爱他美和美素也对比过，a2这边扫罐底码就能出批次报告
- 有货时先看渠道和报告，不只听店员说，a2能扫物流码这点挺实在

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。可以说查过、对比过，不写绝对化结论。"
批批检+转奶，配方之外先扫批次报告,"配方之外先扫批次报告：

a2奶粉优势：配方当然要看，但长期喝会多看一步批次报告。重点是自己能查、安心感，别把蜡样检测0.03硬塞进来。

示例：
- 配方我也会参考，但宝宝长期喝的东西，a2能扫罐底码看这批报告也挺重要
- 长期喝的东西，多看一步没坏处，听说a2每批能扫罐底物流码看报告会安心些
- 配方当然要看，但现在也会看批次报告，美素和a2纠结时，a2能扫罐底码看报告这点更打动我
- 转奶前先扫a2罐底物流码看手里这罐报告，结果出来会踏实些
- 达能也翻过资料，长期喝的话，a2这种能扫罐底码看批次报告的更安心
- 我家喝得久，所以不只看推荐，a2扫罐底码看批次这步挺重要

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。别把配方写成没用，只表达优先级不同。"
批批检+转奶，从皇美转回a2至初,"从皇美转回a2至初：

a2奶粉优势：一开始用皇美/皇家美素/爱他美，后来因为a2批批检、罐底扫码、每批蜡样检测和60多项数据，决定慢慢转回a2至初。语气是个人决定。

示例：
- 我家之前转奶喝皇美，后来想看每批蜡样检测，准备换回a2至初
- 一开始看皇家美素，发现a2能扫罐底物流码查批次报告，就又想试a2至初了
- 皇美喝过一阵，看到a2每批报告能自己查，确实更清楚
- 美素也不是没看过，a2至初批批检能扫罐底码看报告，这点会安心些
- 之前用爱他美，听说a2至初每批能扫罐底码查自己这罐，就准备慢慢转回来
- 我家又回到a2至初，主要是物流码、批次报告和蜡样那项都能自己看

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。风险词少写，优先说蜡样检测、报告里那项、每批检测。"
有货+批批检，对美素打a2可查到自己这罐,"对美素打a2可查到自己这罐：

a2奶粉优势：美素/皇家美素/皇美可以作为信息参考，a2胜在罐底扫码、每批检、能看到自己手里这罐。提0.03时必须连着蜡样检测说，不写a2单纯数值碾压。

示例：
- 皇家美素信息也翻过，a2罐底一扫能看自己这罐报告，这点确实更靠谱
- 皇家美素的蜡样检测信息我也看过，但a2扫罐底码能看自己手里这罐，报告里蜡样检测0.03也写得清楚
- 美素我之前也查过，a2买到这批能直接看对应批次报告，这点更踏实
- 补货前先看报告怎么拿，皇家美素信息也看，a2每批检更好查
- 皇美的信息也可以参考，但a2扫罐底物流码直接看报告更省事
- 60多项数据能扫罐底码看得到，我不一定全懂，但看得到会更安心

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。美素/皇家美素/皇美可以写没看到每批都直接查，不写每批检。"
批批检+转奶，对雀巢打新西兰三方和60多项,"对雀巢打新西兰三方和60多项：

a2奶粉优势：雀巢能恩/超启能恩可以作为对比对象，但正文不要强调对方检测频次。a2重点写新西兰三方检测、60多项质检数据、罐底扫自己这罐。

示例：
- 雀巢能恩也翻过资料，但a2新西兰三方检测我会多看一眼
- 超启能恩也对比过，a2这边60多项数据能看到，更让我踏实
- 转奶前我也看雀巢，a2能看到60多项质检数据，这点更安心
- 雀巢能恩也查过一圈，a2那份新西兰三方检测我会单独看一下
- 转奶前会先扫a2罐底物流码看这罐数据，能看到结果再说
- 扫a2罐底码能看到自己这罐和60多项数据，这点我会看

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。雀巢/超启能恩只做轻对比，别强调对方检测频次；0.03只归到a2蜡样检测。"
有货+转奶，对爱他美打蜡样报告完整度,"对爱他美打蜡样报告完整度：

a2奶粉优势：爱他美跨境偏平台公开信息，爱他美领熠可说质量报告，但蜡样那块要谨慎写。a2优势落到蜡样报告罐底扫码、每批检、新西兰三方和60多项数据。

示例：
- 爱他美领熠也翻过资料，a2蜡样那块每批能扫罐底码看，这点更靠谱
- 爱他美跨境是平台公开信息，a2扫罐底码能看自己这罐蜡样报告，我会更想看a2
- 转奶前也查过爱他美，a2每批蜡样检测能扫罐底码看，这点更踏实
- 之前喝爱他美没太看到每批都有，看到a2这罐扫罐底码出来的报告后，心里更稳一点
- 到货准备转奶前，先扫a2罐底物流码看报告，爱他美跨境平台公开那种就当补充信息
- 不是只看品牌名，爱他美和a2我都翻过，a2扫罐底码能看手里这罐蜡样报告，这点更安心

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。爱他美可以写之前没看到每批都有，也可区分领熠质量报告；扫码看报告的动作必须落到a2，不要写成爱他美也能扫码看每批报告。"
