业务规则,语料,评论示例,评论补充
已购，品牌忠实老客，容易生病,"品牌忠实老客-容易生病-小月龄喝过：

低月龄喝过、从小喝到现在、喝着还可以都能作为素材，但不用每条交代完整时间线。语气直接一点，像评论区补充自己的情况，轻带体质、状态或适应感就行；别写成保证不生病。不要提换季，现在不是换季的季节

示例：
- 这款我家宝贝小月龄时喝过，还可以
- 小月龄那会儿喝源悦，整体状态挺稳的
- 我家从小喝到现在，没怎么踩雷
- 宝宝喝着还行，吃喝状态一直在线
- 小月龄选奶真的谨慎，这款我家适应得不错
- 老客说一句，娃适应就挺省心

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。",,
已购，品牌忠实老客，容易生病,"品牌忠实老客-容易生病-吃喝状态：

从一个很小的状态点发散就行，比如喝奶有劲、精神头还行、最近没那么蔫、妈妈心里踏实些。保留评论区口语感，别每条都凑成“喝奶+精神头+体质”的完整总结，也别写成专治易感体质或体质彻底变好。不要提换季，现在不是换季的季节

示例：
- 每餐都哐哐喝奶，精神头也还不错
- 娃爱喝这点就省很多心，状态也挺在线
- 体质这事不敢说太满，我家目前还行
- 喝下来感觉慢慢支棱点，老母亲安心些
- 不夸张推荐，就是我家喝着挺合适
- 吃喝睡都没怎么乱，心能放下一点

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。",,
已购，品牌忠实老客，容易生病,已购，品牌忠实老客，容易生病,,
已购，品牌忠实老客，经验分享,"品牌忠实老客-经验分享：

只写老客顺手分享、推荐、口感、价格和试用经验。

示例：
- 护士当时也提过这款，喝着还行
- 我们混着喂，母乳➕奶粉，宝宝也能接受
- 吃了五个多月了，二段打算继续吃
- 味道比较清淡，娃也愿意喝
- 我看过 营养方面都可以的
- 本来准备慢慢适应，结果第一顿就喝了
- 从出生就吃源悦，后面也没怎么换
- 有眼光呀姐妹，我也一直给娃喝这个
- 适应后就没再怎么吐，具体多久记不清了
- 这个挺好喝的，上次买了个400g的口感不错
- 源悦我崽一直在喝，大品牌真的很不错的

注意：示例只作为语义素材，不是正文原句。生成时必须重新组织表达，禁止照搬原句、固定数字、固定时间、固定程度词和原有句式。",,
已购，品牌新晋用户，便便问题,"品牌新晋用户-便便问题：

刚换或刚喝后的轻反馈，重点放在便便节奏顺一点、纸尿裤好观察、家长省心一点。语气可以保留一点新用户的克制，只写平稳、省心、顺这些正向观察。

示例：
- 嗯嗯这阵子顺一点，当妈的轻松些
- 刚喝没多久，纸尿裤这块目前挺好观察
- 便便节奏比我预想中稳，先继续喝着
- 换过来后臭臭这块也挺省心
- 最近嗯嗯挺顺，喂养压力小一点
- 新用户浅浅反馈一下，便便这块还可以

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。
生成时多写家长观察和省心感，少集中到固定频率和固定颜色。",,
已购，品牌新晋用户，便便问题,"品牌新晋用户-便便问题-转奶观察细节：

刚转奶后的随手观察，只写转奶过程比较平稳、臭臭节奏稳定、家长慢慢放心这类轻反馈。素材停在顺、稳、好观察、省心这些正向观察。

示例：
- 转奶这几天臭臭节奏还挺稳的
- 刚换过来，便便这块比较省心
- 慢慢转过来还算顺，纸尿裤也好观察
- 前几天简单记了下，臭臭节奏挺正常
- 转奶过程比想象中省心，嗯嗯也顺
- 新奶适应得还可以，便便这块先放心点

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。
生成时多用转奶平稳、家长慢慢放心这类轻表达，避免集中到单一“规律了”。",,
已购，品牌新晋用户，奶量补充,"品牌新晋用户-奶量补充-接受度与转奶状态：

新用户刚试源悦后的口感、接受度、转奶和混合喂观察。

示例：
- 这个味道挺纯正的，我家小吃货很买账😋
- 刚换这款，完全没抗拒
- 朋友推荐的，试下来确实能接受
- 有点挑食，但这个味道还行
- 第一顿就喝完了，我还挺意外
- 转奶比想象中顺，适应得蛮快
- 慢慢转混合源悦，奶量还行
- 刚喝半个月左右，还在继续观察
- 亲，同品牌二转三怎么转更合适呀

注意：示例只作为语义素材，不是正文原句。生成时必须重新组织表达，禁止照搬原句、固定数字、固定时间、固定程度词和原有句式。",,
已购，品牌新晋用户，奶量补充,"品牌新晋用户-奶量补充-奶量变化：

只写刚换后的奶量变化和具体喝奶状态，数字按月龄规则走：0-6个月从低于150ml到180/190ml；7-12个月从低于180ml到200/200多ml；1-3岁从低于180ml到220-250ml。

示例：
- 刚换，奶量比前阵子多一点点
- 之前140ml都剩，现在能喝到180ml
- 6个月内从不到150ml慢慢加到190ml
- 一开始加30ml还不够，后面又试着加了一点
- 奶量涨了些，不知道是不是阶段性的
- 7个月后之前不到180ml，现在200ml能喝完
- 大月龄这阵子能喝200多ml，喝完还找奶嘴
- 现在每顿基本喝完，不怎么剩瓶底
- 1岁后从170ml左右加到220ml
- 一岁多有时能到240ml，我没敢加太猛

注意：示例只作为语义素材，不是正文原句。生成时必须重新组织表达，禁止照搬原句、固定数字、固定时间、固定程度词和原有句式。",,
已购，品牌新晋用户，过敏相关,"品牌新晋用户-过敏相关：

只写敏感宝宝换奶后的试用反馈，样本少时不要扩展太多。语气像新用户小心观察。

示例：
- 中间换过别的，脸上又开始闹，还是换回来了
- 刚开始只敢少量试，目前没看出啥不对
- 买了小罐先试试，喝下来比想象中顺一点
- 之前一换奶就红，这次先观察着还行
- 敏感宝宝换奶真不敢急，这款目前没翻车
- 不敢说就一定行，至少这几天没怎么反复
- 本来只是试试看的，现在先继续喝着
- 换回来以后脸蛋安分些，暂时不折腾了
- 上一款喝着不太对，这个目前还算接受
- 刚转过来没敢一次换完，慢慢加着看
- 前面试了几款，这个算省心点
- 喝完没有明显排斥，先把这罐喝完看看

注意：示例只作为语义素材，不是正文原句。生成时必须重新组织表达，禁止照搬原句、固定数字、固定时间、固定程度词和原有句式。",,
已购，品牌新晋用户，生长发育,"品牌新晋用户-生长发育：

新晋用户对长势的轻量期待和观察，时间入口可以写喝了一阵、这罐喝完前后、最近几周、下次儿保前。可以聊奶量、曲线、日常状态、慢慢看，长肉表达只做少量素材。

示例：
- 这罐先喝着，看看奶量和曲线能不能稳一点
- 喝了一阵，还想看看后面长势
- 这阵子想把喝奶节奏带起来点，先按日常状态看
- 身高体重按自己的节奏走，我就安心点
- 看问答区都说也看宝宝体质，我就先观察一罐
- 先按日常状态慢慢观察
- 先试试看，后面再看曲线稳不稳

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。
生成时优先换成试了一阵后继续看的真实反馈，少集中到单一长肉愿望。",,
已购，品牌新晋用户，生长发育,"品牌新晋用户-生长发育-初期轻观察：

初期轻观察，先看生活细节。可以从称重、抱起来、脸颊、小胳膊、小腿、衣服袖口、儿保曲线这些小变化里带出生长发育，称重和长肉只是其中一种组合。

示例：
- 喝了一阵子，最近一个月涨了半斤多
- 上个月称体重，比之前一个月多了差不多0.3kg
- 最近给宝宝洗澡时发现脸颊圆润一点，小腿也有点肉
- 小月龄这阵子称重比前阵子好看一点
- 最近抱起来有点分量感，洗澡时小腿也有点肉
- 娃一岁多之后这阵子称重大概多了0.2kg
- 这罐喝到后半段，抱起来有点分量感
- 家里老人说娃看着有点肉了，称重比之前多了0.3kg左右
- 洗澡时感觉胳膊腿结实些
- 衣服袖口好像短了点，体重变化也比较克制
- 儿保数据走得比较稳，还在自己的曲线上

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。
可以多用生活瞬间和轻量观察，少写固定的换奶开头。",,
已购，品牌新晋用户，生长发育,"品牌新晋用户-生长发育-吃奶状态：

从喝奶顺不顺、胃口稳不稳、辅食和奶能不能接上，顺带聊到发育更踏实。重点还是生长发育，表达可以更生活化，体重数字只是可选素材。

示例：
- 这阵子想把喝奶节奏带起来点，先按吃奶状态看
- 先按吃奶和日常状态慢慢观察
- 七八个月辅食加上来后，我会顺手看奶量能不能接上
- 现在奶瓶递过去能比较顺地喝
- 辅食加上来节奏也比之前稳
- 换季那阵子胃口也能稳住，倒是我省心不少
- 不知道是口味对路了还是辅食量调合适了，反正心里踏实些
- 看来娃在用自己的节奏长大，当妈的只要佛系观察就好啦
- 最近吃睡玩都还可以，我就按他的节奏看
- 奶量能接上，辅食节奏也还稳，先这样稳稳喝

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。
可以把“长势”写得隐一点，从吃奶接受度、胃口、辅食衔接、妈妈心态里自然带出来。",,
已购，品牌新晋用户，生长发育,"品牌新晋用户-生长发育-曲线儿保：

从儿保记录、生长曲线和同龄对比聊长势，语气更像“先稳住就行”。可以承认宝宝体质不同，长势表达要克制、生活化。

示例：
- 儿保时看了下曲线，整体走得比较稳
- 我家能按自己的节奏长，我就安心些
- 先看下个月数据，慢慢记录
- 身高体重都在范围里，我就按阶段记录
- 问了一圈发现每个娃节奏都不一样，还是得看吸收和体质
- 曲线走得稳，我就愿意再喝一阵看看
- 家里也会关注长势，我现在更想看长期一点的趋势

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。
这条可以多一点“稳、曲线、体质、观察”的口吻，少一点立刻见效的夸张反馈。",,
已购，品牌新晋用户，消化吸收,"品牌新晋用户-消化吸收：

新用户的消化适应反馈，时间可以分散到喝了一阵、这罐快喝完、最近几顿、没刻意记天数、适应期后。可以聊喝完状态、肚肚轻不轻松、喂养省心一点，开头别总落在同一个时间点。

示例：
- 最后选了源悦，想着好吸收点，先按这个节奏喝着
- 不知道是适应了奶粉，还是宝宝慢慢长大了
- 这罐快喝完了，肚肚状态比我预想中稳
- 喝下来目前没太折腾，希望后面也这样
- 没刻意记第几天，反正最近喝完状态还可以
- 最近几顿喝完都挺平稳，我先放心点
- 小月龄肚肚本来就敏感，慢慢适应下来还行

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。
这条偏整体适应，不要都落到拍嗝和吐奶。",,
已购，品牌新晋用户，消化吸收,"品牌新晋用户-消化吸收-拍嗝吐奶：

拍嗝、溢奶、吐奶这些小观察可以作为入口，时间表达要自然分散。语气可以有点松口气，也可以保留“可能是慢慢适应了”的不确定感。

示例：
- 之前拍嗝都压不住，现在好像稳一点
- 小月龄那会儿吐奶太烦了，现在总算轻点
- 喝完竖抱一会儿就还好，没之前那么容易往外冒
- 以前刚放下就容易溢一点，这阵子好像少些
- 也不敢说全是奶粉原因，反正这阵子拍嗝没那么崩溃
- 喝了一阵再看，吐奶没有之前那么频繁
- 喝完不用一直抱着不敢动，老母亲轻松一点

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。
可以写拍嗝和溢奶细节，少用特别笃定的“解决吐奶”。",,
已购，品牌新晋用户，消化吸收,"品牌新晋用户-消化吸收-肚肚状态：

从喝完奶后的肚肚状态、扭不扭、睡不睡得踏实来判断适应情况。表达要生活化，时间可以写最近、这阵子、喝了一段、快喝完一罐，不写成医学结论。

示例：
- 喝完没有一直扭来扭去，肚肚看着没那么闹
- 之前一喝完就哼唧，现在能安静躺一会儿
- 这阵子我会顺手看肚肚状态，整体还算顺
- 奶后没有老是憋着劲哭，感觉比我想的省心
- 肚子不鼓鼓的时候，喝奶也顺一点
- 最近晚上没因为肚肚闹太久，先继续喝着
- 吃完拍完嗝能自己玩一会儿，我就觉得还可以

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。
这条多写喝后状态和妈妈观察，别写成治疗胀气或保证好吸收。",,
已购，品牌新晋用户，性价比,"品牌新晋用户-性价比：

语气像刚买后觉得这单还可以。

示例：
- 看了一圈，这款性价比确实高
- 这个价格能买到，我觉得可以了
- 这个还是挺值得入手的，我家娃适应得挺好
- 挺划算的，宝宝也愿意喝
- 源悦跟其他价格也差不多，但是靠谱
- 对比下来源悦价格友好，先入了试试
- 说真的，源悦的这个价格对应这个效果，可以了

注意：示例只作为语义素材，不是正文原句。生成时必须重新组织表达，禁止照搬原句、固定数字、固定时间、固定程度词和原有句式。",,
已购，品牌新晋用户，性价比,"品牌新晋用户-性价比-买后接受度：

只写刚入手后，结合宝宝接受度、配方、奶源、肠胃友好这些因素，觉得这单值得。
主线还是性价比，不要写成单纯功效反馈。

可写方向：
- 买得不贵，宝宝也愿意喝
- 价格能接受，适应情况也还行
- 配方、奶源和价格综合看不错
- 刚入手后觉得值得继续喝

真人示例：
- 很划算，宝宝也喜欢喝，挺好的
- 这个还是挺值得入手的，我家娃适应得挺好
- 源悦配方对肠胃很友好的，性价比也不错
- 源悦的奶源配方都挺好，我是觉得性价比不错买的

注意：
示例只作为语义素材，不是正文原句。生成时必须重新组织表达。
可以带到宝宝接受度、配方、奶源，但结论必须回到“这单值不值、价格是否合适”。",,
未购，痛点类提问,"高意向潜客-痛点类提问：

准备转奶前的顺手提问，问题可以散一点：接受度、转奶稳不稳、便便上火、奶量、长势、配方标准都能问。少集中到肚肚不舒服，别写成客服咨询。

示例：
- 挑奶宝宝能接受这个味道吗
- 三段转这个的话，奶量会不会稳一点
- 姐妹，这个到底好不好转啊，有点纠结
- 想问问喝过的，日常便便怎么样
- 长肉和吸收这块有没有真实反馈
- 奶粉符合新国标标准吗
- 正在纠结源悦就刷到了

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。
可以带一点自家娃情况，问题入口尽量分散。",,
未购，痛点类提问,"高意向潜客-痛点类提问-肠胃吸收：

围绕好不好吸收、转奶适不适应、喝后状态来问别人经验。可以有犹豫感，更多写奶后状态、拍嗝吐奶、睡踏实、喝奶接受度。

示例：
- 这款喝着好吸收吗，转奶会不会难适应
- 拍嗝吐奶比较多的宝宝，有喝过这款的吗
- 喝完状态会不会比较平稳，想听真实反馈
- 小月龄奶后容易闹，这款有人试过吗
- 肠胃偏敏感的宝宝，转这个会不会更好接受
- 晚上奶后睡不踏实的，有没有宝妈喝过
- 容易胀肚的宝宝能不能试这款

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。
可以带一点怕转奶不适应的心态，问题入口尽量分散。",,
未购，痛点类提问,"高意向潜客-痛点类提问-便便上火：

围绕便便、上火、嗯嗯节奏来问，问题可以很短，也可以带一点自家娃现状。多用顺不顺、干不干、上不上火这类评论区说法。

示例：
- 喝着怎么样，会上火便秘吗
- 有哪位妈妈知道这款会不会上火或者便秘
- 这个会不会容易上火呀，我崽嗯嗯一般
- 嗯嗯不太规律的宝宝能试吗
- 粑粑容易干的娃，喝这个会不会顺一点
- 奶粉喝了会不会上火呀
- 打算给宝宝试试，想先问问容易不容易上火
- 容易拉干粑粑的娃能喝吗
- 便便总是不太规律，想问问这款怎么样

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。
不要每条都写便秘，可以换成嗯嗯、粑粑干、上火、排便费劲这些口语说法。",,
未购，痛点类提问,"高意向潜客-痛点类提问-成长配方：

看完种草后顺手确认长势、营养、配方和标准。语气偏做功课，可以问奶量、长肉、成分、新国标，不用每句都带肠胃问题。

示例：
- 长身高吗？
- 这个长肉肉吗
- 吸收怎么样？长肉肉吗
- 真的长肉莫，正想要款长肉的
- 奶量一般的宝宝，转这个会不会好接受点
- 美素佳儿还是不错的，新国标的吗？
- 这款奶粉中益生菌含量有吗
- 奶粉符合新国标标准吗

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。
这条可以像在补最后一层功课，别都变成“长肉吗”三个字。",,
未购，冲泡类,"高意向潜客-冲泡类：

像冲泡前顺手问的细节问题

示例：
- 这个奶粉好冲吗，会不会挂杯
- 容易溶解吗，怕半天摇不开
- 奶瓶底会不会老有粉没化开
- 冲泡起来麻烦吗，新手有点怕翻车
- 想给长肉宝宝试试，先问下好不好冲

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。",,
未购，冲泡类,"高意向潜客-冲泡类-水温粉质：

像冲奶前问水温、粉质和溶解状态，别只问“好不好冲”，可以带结块、挂壁、泡沫、摇多久这些细节。

示例：
- 奶粉结块是不是水温不够高
- 泡奶水温多少好
- 这个粉质细腻吗，容易融开吗
- 这个粉质细腻吗
- 这款奶粉会难溶解吗 姐妹
- 你们的源悦都不会冲不开吗？我买的，摇了三分钟还没冲开
- 泡了会挂壁吗
- 好冲泡吗 会不会挂壁
- 粉质细腻么 好冲泡么
- 粉质细细的，好溶解

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。
别每条都写成“会不会挂杯”，可以多问水温、结块、粉质和摇不开。",,
未购，冲泡类,"高意向潜客-冲泡类-新手操作：

像新手妈妈准备下单前问实际操作，关注一罐能冲几次、勺子比例、小罐试用、混合冲泡和第一顿怎么试。

示例：
- 这个一罐能冲几次
- 新奶粉第一顿要少冲点吗
- 有没有小罐的，看适不适应
- 建议新手妈妈都先拍个试用装，好不好宝宝喝了就知道
- 有没有试用装？
- 用新勺子喝老版也是放6平勺吧
- 新国标都是30ml水一平勺奶粉
- 喝了一个多月，都是180+4勺奶，今天无聊看了一眼：180+6勺奶
- 姐妹，我也想这样喂，我想问下目前宝宝情况如何呢，可以一直混合冲泡吗？
- 最近就在纠结源悦，不知道好冲泡不

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。
别只问溶不溶，也可以问小罐试用、勺子、水量和新手操作。",,
未购，冲泡类,"高意向潜客-冲泡类-新手操作：

像新手妈妈准备下单前问实际操作，关注一罐能冲几次、勺子比例、小罐试用、混合冲泡和第一顿怎么试。

示例：
- 这个一罐能冲几次
- 新奶粉第一顿要少冲点吗
- 有没有小罐的，看适不适应
- 建议新手妈妈都先拍个试用装，好不好宝宝喝了就知道
- 有没有试用装？
- 用新勺子喝老版也是放6平勺吧
- 新国标都是30ml水一平勺奶粉
- 喝了一个多月，都是180+4勺奶，今天无聊看了一眼：180+6勺奶
- 姐妹，我也想这样喂，我想问下目前宝宝情况如何呢，可以一直混合冲泡吗？
- 最近就在纠结源悦，不知道好冲泡不

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。
别只问溶不溶，也可以问小罐试用、勺子、水量和新手操作。",,
未购，口感类,"高意向潜客-口感类：

对于口感的问题。

示例：
- 听说味道比较清淡，转源悦难不难呀
- 这款奶粉味道怎么样，挑嘴宝宝能接受吗
- 腥不腥啊
- 奶香味重不重，会不会太甜
- 转奶宝宝嘴巴挑，这个好入口吗
- 喝惯别的奶粉了，换这个味道差别大吗

注意：示例只作为语义素材，不是正文原句。生成时必须重新组织表达，禁止照搬原句、固定数字、固定时间、固定程度词和原有句式。",,
未购，口感类,"高意向潜客-口感类-转奶接受度：

问转奶入口和接受度，不只问味道淡不淡，也可以问母乳转奶、旧奶粉换过来、娃会不会抗拒。

示例：
- 口感怎么样？我家嘴挑 都不一定喝
- 这个味道怎么样 我家一直母乳 怕接受不了奶粉的味道
- 这个从亲喂到奶粉，口感接受度高吗
- 大数据精准推送到我了，想问问源悦口感好吗？我怕我家娃不爱吃
- 这个味道好接受吗？换了3款奶粉了娃都不爱
- 想问下这款口味清淡吗？我家娃挑嘴，怕不爱喝
- 味道怎么样？宝宝容易接受吗？
- 这个味道宝宝容易接受吗

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。
别每条都写成“挑嘴娃能喝吗”，可以多问入口、抗拒、亲喂转奶或旧奶粉切换。",,
未购，喂养提问,"高意向潜客-喂养提问：

像第一次准备换奶时，来评论区求一个大概流程或过来人经验。语气可以短一点、慌一点，别展开到具体比例和适应反应。

示例：
- 第一次转奶有点懵，有没有宝妈说下大概怎么来
- 喝奶粉过程是怎么过渡的呀
- 从原来的奶粉换到源悦，一般先从哪一步开始
- 新手妈妈看转奶攻略看晕了，求个简单点的说法
- 准备换这款，想听听已经转过的宝妈怎么安排
- 是先买小罐试试，还是直接按转奶流程走
- 转奶这事是不是不能太急，大家都怎么过渡的

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。",,
未购，喂养提问,"高意向潜客-喂养提问-换段搭配：

像正在做功课的家长，顺手问换段、月龄、辅食搭配这些喂养问题。别写成产品功效提问，也别写成已购反馈。

真人示例：
- 想问一下2转3的时候其他吃的有忌讳吗
- 12个月+宝宝还要喝二段奶粉吗
- 早产宝宝喝什么奶粉比较好
- 一岁后换三段的话，饭和奶怎么安排比较好
- 2段快喝完了，三段要提前囤吗
- 换段那几天辅食要不要先吃简单点
- 刚满一岁，奶量和饭量哪个更该稳住

注意：
示例只作为语义素材，不是正文原句，生成时换一种自然说法。
整体像在问段数、月龄、饭奶和辅食安排，少跑到转奶比例或适应反应。",,
